step,train_rmse,oob_rmse,model,val_rmse,train_loss,val_r2
22,,,MLP-Deep,,1.0190331200466518,0.6136427695800143
23,,,MLP-Deep,,1.0172724305487713,0.6281379471326263
24,,,MLP-Deep,,0.9983079139268258,0.6390646307625563
25,,,MLP-Deep,,0.9923000062044256,0.6203204467363285
26,,,MLP-Deep,,0.9784183799859394,0.6152742729146636
27,,,MLP-Deep,,0.9647557798679767,0.6176930234777811
28,,,MLP-Deep,,0.9551051727289959,0.6045161886268973
29,,,MLP-Deep,,0.952238280912365,0.6299877044876229
30,,,MLP-Deep,,0.9307351612627913,0.6265460327584589
31,,,MLP-Deep,,0.9283247455646744,0.6233646584834118
32,,,MLP-Deep,,0.9258687397639309,0.6180670104421039
33,,,MLP-Deep,,0.906993044931156,0.6053294621632136
34,,,MLP-Deep,,0.8938151470769409,0.6205364641807622
35,,,MLP-Deep,,0.8842855359056915,0.6186699651582099
36,,,MLP-Deep,,0.8772462553373466,0.6179681626460559
37,,,MLP-Deep,,0.8679249576006235,0.6103825562425279
38,,,MLP-Deep,,0.8597159211407917,0.5854942180921371
39,,,MLP-Deep,,0.847588869660508,0.5832419189179016
